"Year","Month","Day","Hour","Minute","DNI"
2000,1,16,0,30,0
2000,1,16,1,30,0
2000,1,16,2,30,0
2000,1,16,3,30,0
2000,1,16,4,30,0
2000,1,16,5,30,0
2000,1,16,6,30,0
2000,1,16,7,30,0
2000,1,16,8,30,0
2000,1,16,9,30,24
2000,1,16,10,30,456
2000,1,16,11,30,370
2000,1,16,12,30,501
2000,1,16,13,30,54
2000,1,16,14,30,285
2000,1,16,15,30,0
2000,1,16,16,30,202
2000,1,16,17,30,0
2000,1,16,18,30,0
2000,1,16,19,30,0
2000,1,16,20,30,0
2000,1,16,21,30,0
2000,1,16,22,30,0
2000,1,16,23,30,0
2000,1,17,0,30,0
2000,1,17,1,30,0
2000,1,17,2,30,0
2000,1,17,3,30,0
2000,1,17,4,30,0
2000,1,17,5,30,0
2000,1,17,6,30,0
2000,1,17,7,30,231
2000,1,17,8,30,699
2000,1,17,9,30,852
2000,1,17,10,30,916
2000,1,17,11,30,939
2000,1,17,12,30,936
2000,1,17,13,30,907
2000,1,17,14,30,844
2000,1,17,15,30,708
2000,1,17,16,30,356
2000,1,17,17,30,0
2000,1,17,18,30,0
2000,1,17,19,30,0
2000,1,17,20,30,0
2000,1,17,21,30,0
2000,1,17,22,30,0
2000,1,17,23,30,0
2000,1,18,0,30,0
2000,1,18,1,30,0
2000,1,18,2,30,0
2000,1,18,3,30,0
2000,1,18,4,30,0
2000,1,18,5,30,0
2000,1,18,6,30,0
2000,1,18,7,30,154
2000,1,18,8,30,600
2000,1,18,9,30,768
2000,1,18,10,30,838
2000,1,18,11,30,533
2000,1,18,12,30,395
2000,1,18,13,30,431
2000,1,18,14,30,91
2000,1,18,15,30,9
2000,1,18,16,30,0
2000,1,18,17,30,0
2000,1,18,18,30,0
2000,1,18,19,30,0
2000,1,18,20,30,0
2000,1,18,21,30,0
2000,1,18,22,30,0
2000,1,18,23,30,0
2000,1,19,0,30,0
2000,1,19,1,30,0
2000,1,19,2,30,0
2000,1,19,3,30,0
2000,1,19,4,30,0
2000,1,19,5,30,0
2000,1,19,6,30,0
2000,1,19,7,30,0
